"","HDI rank","Country","Human Development Index","Life Expectancy at Birth (years)","Expected Years of Schooling","CODE","Total","women","growthRate","region","rank","latestRate","dataYear","pop2023","landAreaKm","density"
"68",79,"China","0.768",78.2,"14.2","CHN",4.55000019073486,3.9539999961853,-0.00015,"Asia",89,96.357452,2015,1425671352,9424702.9,151.2696
"69",80,"Dominican Republic","0.767",72.6,"14.5","DOM",7.69999980926514,12.5209999084473,0.00928,"North America",131,92.465424,2015,11332972,48310,234.5885
"70",83,"Cuba","0.764",73.7,"14.4","CUB",1.47300004959106,1.60300004482269,-0.00158,"North America",22,99.710716,2015,11194449,103800,107.8463
"71",84,"Peru","0.762",72.4,"15.4","PER",5.09999990463257,5.55299997329712,0.0089,"South America",118,94.374352,2015,34352719,1280000,26.8381
"72",85,"Armenia","0.759",72,"13.1","USSR-ARM",NA,NA,-9e-04,"Asia",16,99.768417,2015,2777970,28470,97.5753
"73",86,"Mexico","0.758",70.2,"14.9","MEX",4.09000015258789,4.13299989700317,0.00746,"North America",115,94.545593,2015,128455567,1943950,66.0797
"74",87,"Brazil","0.754",72.8,"15.6","BRA",13.3400001525879,16.6840000152588,0.00515,"South America",130,92.586807,2015,216422446,8358140,25.8936
"75",88,"Colombia","0.752",72.8,"14.4","COL",13.8999996185303,18.1690006256104,0.00407,"South America",114,94.577057,2015,52085168,1109500,46.9447
"76",89,"Saint Vincent and the Grenadines","0.751",69.6,"14.7","VCT",20.3980007171631,19.5690002441406,-0.00241,"North America",96,95.632156,1970,103698,390,265.8923
"77",90,"Maldives","0.747",79.9,"12.6","MDV",5.25699996948242,4.48999977111816,-0.00528,"Asia",30,99.321022,2015,521021,300,1736.7367
"78",91,"Algeria","0.745",76.4,"14.6","DZA",11.7469997406006,20.4750003814697,0.01566,"Africa",160,79.608398,2015,45606480,2381741,19.1484
"79",91,"Tonga","0.745",71,"16.0","TON",2.66899991035461,3.65400004386902,0.00856,"Oceania",28,99.397858,2015,107773,720,149.6847
"80",95,"Ecuador","0.740",73.7,"14.6","ECU",4.5,5.70900011062622,0.01053,"South America",116,94.515472,2015,18190484,248360,73.2424
"81",96,"Mongolia","0.739",71,"15.0","MNG",7.75,7.31300020217896,0.01436,"Asia",61,98.367638,2015,3447157,1557506.8,2.2133
"82",97,"Egypt","0.731",70.2,"13.8","EGY",7.40000009536743,15.9309997558594,0.01556,"Africa",168,75.842621,2015,112716598,995450,113.2318
"83",97,"Tunisia","0.731",73.8,"15.4","TUN",16.2639999389648,23.6389999389648,0.00826,"Africa",155,81.054192,2015,12458223,155360,80.1894
"84",99,"Fiji","0.730",67.1,"14.7","FJI",4.92899990081787,6.22800016403198,0.00711,"Oceania",124,93.699997,2003,936375,18270,51.2521
"85",99,"Suriname","0.730",70.3,"13.0","SUR",9.07800006866455,12.4849996566772,0.00841,"South America",98,95.538986,2015,623236,156000,3.9951
"86",101,"Uzbekistan","0.727",70.9,"12.5","USSR-UZB",NA,NA,0.01549,"Asia",7,99.995193,2015,35163944,440650,79.8002
"87",102,"Dominica","0.720",72.8,"13.3","DMA",NA,NA,0.00417,"North America",121,94,2003,73040,750,97.3867
"88",102,"Jordan","0.720",74.3,"10.6","JOR",18.4440002441406,25.5949993133545,0.00454,"Asia",65,98.014351,2015,11337052,88794,127.6781
"89",104,"Libya","0.718",71.9,"12.9","LBY",20.6060009002686,26.798999786377,0.01116,"Africa",133,91.38887,2015,6888388,1759540,3.9149
"90",105,"Paraguay","0.717",70.3,"13.0","PRY",7.30999994277954,9.55200004577637,0.01191,"South America",99,95.53611,2015,6861524,397300,17.2704
"91",106,"Saint Lucia","0.715",71.1,"12.9","LCA",19.5200004577637,21.5189990997314,0.00219,"North America",136,90.099998,2001,180251,610,295.4934
"92",108,"Guyana","0.714",65.7,"12.5","GUY",14.9049997329712,16.6229991912842,0.00632,"South America",143,87.535316,2015,813834,196850,4.1343
"93",109,"South Africa","0.713",62.3,"13.6","ZAF",28.7700004577637,30.2719993591309,0.00869,"Africa",113,94.597939,2015,60414495,1213090,49.8022
"94",110,"Jamaica","0.709",70.5,"13.4","JAM",6.01100015640259,7.35200023651123,-0.00065,"North America",138,88.499901,2015,2825544,10830,260.8997
"95",111,"Samoa","0.707",72.8,"12.4","WSM",9.90999984741211,14.9320001602173,0.01484,"Oceania",35,99.015007,2015,225681,2780,81.1802
"96",112,"Gabon","0.706",65.8,"13.0","GAB",21.8360004425049,29.69700050354,0.01991,"Africa",152,83.237877,2015,2436566,257670,9.4561
"97",112,"Lebanon","0.706",75,"11.3","LBN",12.4969997406006,15.7609996795654,-0.02474,"Asia",120,94.051102,2015,5353930,10230,523.3558
"98",114,"Indonesia","0.705",67.6,"13.7","IDN",3.82999992370605,3.15199995040894,0.00738,"Asia",100,95.437683,2015,277534122,1877519,147.8196
"99",116,"Philippines","0.699",69.3,"13.1","PHL",2.63199996948242,2.96600008010864,0.01539,"Asia",88,96.618027,2015,117337368,298170,393.5251
"100",117,"Botswana","0.693",61.1,"12.3","BWA",21.1550006866455,23.125,0.01713,"Africa",141,88.224411,2015,2675352,566730,4.7207
"101",121,"Iraq","0.686",70.4,"12.1","IRQ",16.1700000762939,28.1940002441406,0.02266,"Asia",159,79.721764,2015,45504560,434128,104.8183
"102",123,"Belize","0.683",70.5,"13.0","BLZ",10.289999961853,15.5749998092651,0.0137,"North America",153,82.776817,2015,410825,22810,18.0107
"103",123,"Morocco","0.683",74,"14.2","MAR",10.5419998168945,12.3859996795654,0.0102,"Africa",173,71.710548,2015,37840044,446300,84.7861
"104",125,"El Salvador","0.675",70.7,"12.7","SLV",4.34999990463257,4.79099988937378,0.00451,"North America",142,87.648216,2015,6364943,20720,307.1884
"105",126,"Nicaragua","0.667",73.8,"12.6","NIC",5.93200016021729,6.08099985122681,0.01409,"North America",154,82.471848,2015,7046310,120340,58.5533
"106",127,"Bhutan","0.666",71.8,"13.2","BTN",3.90799999237061,4.83300018310547,0.00635,"Asia",182,63.906818,2015,787424,38140,20.6456
"107",129,"Bangladesh","0.661",72.4,"12.4","BGD",5.09700012207031,7.54300022125244,0.01033,"Asia",184,61.493832,2015,172954319,130170,1328.6803
"108",130,"Tuvalu","0.641",64.5,"9.4","TUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",131,"Marshall Islands","0.639",65.3,"10.2","MHL",NA,NA,0.01027,"Oceania",62,98.265083,2015,41996,180,233.3111
